Id	LST	M3	M3_abs
TCGA-BH-A0H0	7	0	0
TCGA-BH-A0H3	2	0	0
TCGA-BH-A0H6	2	0	0
TCGA-BH-A0H7	16	0	0
TCGA-BH-A0H9	17	0	0
TCGA-BH-A0HA	2	0	0
TCGA-BH-A0HB	9	0	0
TCGA-BH-A0HF	4	0	0
TCGA-BH-A0HI	8	0	0
TCGA-BH-A0HK	2	0	0
TCGA-BH-A0HL	9	0	0
TCGA-BH-A0HN	13	0	0
TCGA-BH-A0HO	0	0	0
TCGA-BH-A0HP	6	0	0
TCGA-BH-A0HQ	12	0	0
TCGA-BH-A0HU	19	0	0
TCGA-BH-A0HW	19	0	0
TCGA-BH-A0HX	13	0.269066881	26.9066881
TCGA-BH-A0HY	27	0	0
TCGA-BH-A0W3	10	0	0
TCGA-BH-A0W4	3	0	0
TCGA-BH-A0W5	8	0	0
TCGA-BH-A0W7	10	0	0
TCGA-BH-A0WA	31	0.573190674	57.3190674
TCGA-BH-A18F	5	0.008985737	0.8985737
TCGA-BH-A18G	5	0	0
TCGA-BH-A18H	17	0.107591778	10.7591778
TCGA-BH-A18I	3	0	0
TCGA-BH-A18J	9	0	0
TCGA-BH-A18K	16	0	0
TCGA-BH-A18L	8	0	0
TCGA-BH-A18M	20	0	0
TCGA-BH-A18N	0	0.009026285	0.9026285
TCGA-BH-A18Q	33	0.362887262	36.2887262
TCGA-BH-A18R	15	0.256466576	25.6466576
TCGA-BH-A18S	4	0	0
TCGA-BH-A18U	21	0.093640321	9.3640321
TCGA-BH-A18V	36	0.502667047	50.2667047
TCGA-BH-A1EN	18	0.04349762	4.349762
TCGA-BH-A1EO	4	0	0
TCGA-BH-A1ES	4	0	0
TCGA-BH-A1ET	0	0	0
TCGA-BH-A1EU	13	0	0
TCGA-BH-A1EV	12	0.001349466	0.1349466
TCGA-BH-A1EW	15	0	0
TCGA-BH-A1EX	3	0	0
TCGA-BH-A1EY	10	0	0
TCGA-BH-A1F2	15	0	0
TCGA-BH-A1F5	1	0	0
TCGA-BH-A1F6	20	0.03425752	3.425752
TCGA-BH-A1F8	11	0.03240216	3.240216
TCGA-BH-A1FC	26	0.123404422	12.3404422
TCGA-BH-A1FD	21	0	0
TCGA-BH-A1FE	13	0	0
TCGA-BH-A1FG	7	0	0
TCGA-BH-A1FJ	3	0	0
TCGA-BH-A1FL	7	0	0
TCGA-BH-A1FM	14	0	0
TCGA-BH-A1FN	25	0	0
TCGA-BH-A1FU	10	0.061222796	6.1222796
TCGA-BH-A201	9	0.161751491	16.1751491
TCGA-BH-A202	8	0.216870682	21.6870682
TCGA-BH-A203	26	0	0
TCGA-BH-A204	11	0	0
TCGA-BH-A208	10	0	0
TCGA-BH-A209	7	0	0
TCGA-BH-A28O	0	0	0
TCGA-BH-A28Q	5	0	0
TCGA-BH-A2L8	3	0	0
TCGA-BH-A42T	16	0	0
TCGA-BH-A42U	0	0	0
TCGA-BH-A42V	5	0	0
TCGA-BH-A5IZ	21	0.281389822	28.1389822
TCGA-BH-A5J0	24	0	0
TCGA-BH-A6R8	5	NA	NA
TCGA-BH-A6R9	15	NA	NA
TCGA-BH-A8FY	7	NA	NA
TCGA-BH-A8FZ	29	NA	NA
TCGA-BH-A8G0	0	NA	NA
TCGA-C8-A12K	43	0.28364228	28.364228
TCGA-C8-A12L	40	0.392166304	39.2166304
TCGA-C8-A12M	13	0	0
TCGA-C8-A12N	1	0.150917285	15.0917285
TCGA-C8-A12O	17	0	0
TCGA-C8-A12P	31	0	0
TCGA-C8-A12Q	25	0	0
TCGA-C8-A12T	13	0	0
TCGA-C8-A12U	25	0	0
TCGA-C8-A12W	22	0	0
TCGA-C8-A12X	14	0	0
TCGA-C8-A12Y	10	0	0
TCGA-C8-A12Z	9	0	0
TCGA-C8-A130	31	0	0
TCGA-C8-A131	16	0.046512303	4.6512303
TCGA-C8-A132	16	0	0
TCGA-C8-A134	37	0.494535812	49.4535812
TCGA-C8-A135	7	0.035478775	3.5478775
TCGA-C8-A137	11	0	0
TCGA-C8-A138	22	0	0
TCGA-C8-A1HE	6	0	0
TCGA-C8-A1HF	12	0	0
TCGA-C8-A1HG	17	0.031099821	3.1099821
TCGA-C8-A1HI	5	0.230032388	23.0032388
TCGA-C8-A1HJ	25	0.636361225	63.6361225
TCGA-C8-A1HK	9	0.013498321	1.3498321
TCGA-C8-A1HL	19	0	0
TCGA-C8-A1HM	29	0.067760789	6.7760789
TCGA-C8-A1HN	13	0.022730052	2.2730052
TCGA-C8-A1HO	4	0	0
TCGA-C8-A26V	23	0.145305172	14.5305172
TCGA-C8-A26W	8	0	0
TCGA-C8-A26X	26	0.050879764	5.0879764
TCGA-C8-A26Y	12	0.022740786	2.2740786
TCGA-C8-A26Z	8	0.114726998	11.4726998
TCGA-C8-A273	18	0	0
TCGA-C8-A274	12	0	0
